zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SAV,C1CNCCNCCCNCCNC1,1.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.25
DDR,C1CN2CCC1CC2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BEA,C[N+](C)(C)Cc1ccccc1,0.0,0.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0
MEL,CCCN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
MTW,N[C@H]1CC[C@H](N)CC1,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0
ATS,CCCNCCC,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
AFI,C1CN2CCN1CC2,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MTW,NCC1CCNCC1,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
FAU,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FER,Cn1cc[n+](C)c1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
AEL,CCN1C=CN(C)C1C(=O)[O-],1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0
AEN,OSDA-free,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
MTW,C[N+]1(C2CCCCC2)CCCC1,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
MTW,CN(C)CCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCN(C)C)cc1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
GIS,NCCN,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0
